trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,14,-34.67882755656359,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9999987662997035}",20,0,-58.098209481866704,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999950652018582}",30,0,-94.77769668326053,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.999988896715596}",25,0,-107.87941209235117,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999802608561371}",30,0,-165.68684664024926,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999691576447897}",20,4,-65.46159349516608,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9999555871089498}",25,0,-147.81880436366305,"{0: 10, 1: 5, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999395492821014}",35,0,-82.93575428522632,"{0: 22, 1: 4, 2: 9, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999210442038161}",20,0,-127.94480812953502,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999000719197535}",35,0,-162.82581323212895,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.9998766324816606}",20,0,-116.45584644056153,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998507259473718}",35,0,-158.09653787919342,"{0: 21, 1: 2, 2: 10, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.999822352380809}",25,0,-164.65920952129446,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9997915118519811}",30,0,-187.36614417038223,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.999758204436984}",20,0,-130.3968598640537,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9997224302180006}",20,0,-97.17418027541873,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9996841892832999}",20,0,-81.75641069040095,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.999643481727238}",20,0,-108.74151154402662,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9996003076502565}",25,0,-128.5792639216142,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9995546671588833}",20,0,-83.11801144796195,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9995065603657316}",20,0,-133.4860041608295,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9994559873895001}",25,0,-136.30605453866215,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9994029483549729}",25,0,-235.6882344134892,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9993474433930183}",20,0,-127.20638949215936,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9992894726405892}",25,0,-60.49775196685695,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9992290362407229}",30,0,-209.4317875301195,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
