trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.11900118454683,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.07947986878455,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.19683463160155,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.39042315163077,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.40959528498899,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.5913088691475,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.18251858697542,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,5,-51.47144809766339,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.4636400779959,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,11,-64.76565738815802,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.18122441576014,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.37612283027922,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.7777083859805,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.3587084470687,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.32834572727633,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.10455270522482,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.30986229557317,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.44318914447592,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.24157923464844,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.89298536305387,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.01672157287965,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.71950070700245,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.34986011228165,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,3,-113.70820001970036,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.82079305905575,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.59237812027223,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.49216171913858,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.0607494579436,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.21064947423864,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-57.26932456234376,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
